specialite,nom,adresse,telephone,site_web,email
,Nouvel Habitat Strasbourg,20 Rue du 22 Novembre,0 805 69 14 15,https://www.google.com/aclk?sa=L&ai=DChsSEwjwwL2W1u2UAxX6T0ECHTSaIQoYACICCAEQBxoCd3M&co=1&ase=2&gclid=CjwKCAjwxITRBhBYEiwA6mZm7XcPggtD764uqXEx147QZtND_mZMjht1HQIc9X69-jd14hmgLbALmhoCZkwQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_0tipCTt9wy1vGFhYpaH-xmKnNaFQ&adurl&q&ctype=99&nis=6,
",""Agence immobilière Pichet - Neuf, investissement"",32 - 34 All. de la Robertsau,03 67 85 34 60,https://www.pichet.fr/agence-immobiliere",,,,,
,ZIMMERMANN Immobilier,33 Rue des Carmes,03 88 55 95 00,http://www.immo-zimmermann.com/,
,Cosy Rent - Agence de Conciergerie et Location,5 Av. de Périgueux,06 24 90 57 12,https://www.cosy-rent.fr/,
",Nicolas Hertrich - Agent immobilier,30 Rue Principale,07 72 25 16 70,""https://www.home-agency.fr/conseiller/nicolas.hertrich,110""",,,,,
,Square Habitat Strasbourg (Location - Gestion - Syndic de copropriété​),12 Rue du 22 Novembre,03 88 24 91 91,https://www.squarehabitat.fr/square-habitat-alsace-vosges/nos-agences-immobilieres/bas-rhin/strasbourg-67000/agence/alsace-vosges-square-habitat,
,Otto Patrice,8 Av. Pierre Mendès-France,06 08 01 59 17,http://www.protee-immobilier.fr/,
,Agences 67,1 Rue de Walbourg,06 50 46 44 48,https://agences67.fr/,
,Immobiliere Baumann,21 Av. de la Forêt-Noire,03 88 38 64 85,https://www.agence-baumann.com/,
,Agence Immobilière A et K,67 Rue Principale,03 88 56 28 28,http://www.aetkimmobilier.fr/,
,Weller Immobilière,39 Rue de Zurich,03 88 35 03 33,http://www.wellerimmo.fr/,
,Cabinet Immobilier Avenue de la Paix,16 Av. de la Paix,03 88 16 19 43,,
,Transac'Immobilier,45 Rue Boecklin,03 88 31 27 21,http://www.transac-immobilier.com/,
,4% Immobilier Schiltigheim,152 Rte de Bischwiller,06 89 04 73 63,,
,🏡 Reboot Immobilier - Vente 🗝️ Location ✨ Gestion locative 💻,75 Rte de Mittelhausbergen,06 95 42 95 13,https://www.reboot-immobilier.com/,
,Immocentre,9 Pl. Kléber,03 88 15 79 79,http://www.immocentre.net/?utm_source=gmb,
,Alvedia Immobilier Strasbourg (Estimation Gratuite),27 Rue du Fort-Louis,03 88 64 43 43,http://www.alvedia.immo/,
,COÏMO Immobilier,12 Rue des Orchidées,06 67 54 75 39,https://coimo.fr/,
,Immobilière du Bas Rhin,85 Av. des Vosges,03 88 52 47 40,https://www.immobasrhin.com/,
,Hebding Immobilier,19 Rue du Maréchal-Foch,03 88 23 80 80,http://www.hebdingimmobilier.fr/,
,Dromson Immobilier,9 Rue du Marais-Vert,03 88 52 88 83,https://www.dromson-immobilier.com/,
,Agence immobilière Strasbourg - Espaces Atypiques Alsace,31 Avenue des Vosges,03 88 52 27 94,https://www.google.com/aclk?sa=L&ai=DChsSEwi51OTx1u2UAxWYMQYAHZ3mKgkYACICCAEQBBoCd3M&co=1&ase=2&gclid=CjwKCAjwxITRBhBYEiwA6mZm7dNJLVPfnncUWLXT60lgsQstNYvLtNclfWsaR8Ctf67dpo0Iklr28xoCtu4QAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_1l59rGNkChtdYM7Wm9bFIiIsTL2Q&adurl&q&ctype=99&nis=6,
,Empruntis STRASBOURG courtier en crédit immobilier,1 Place Broglie,03 90 22 56 23,https://www.google.com/aclk?sa=L&ai=DChsSEwi51OTx1u2UAxWYMQYAHZ3mKgkYACICCAEQDBoCd3M&co=1&ase=2&gclid=CjwKCAjwxITRBhBYEiwA6mZm7bm4dT_cp5GHGkO9o-caf2oZQGRrgPhEb_iaGAdaapXH7g1gKhdXxBoCg5MQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_2v9hpmF7xRUG1ytRPNreks1Vo4Ww&adurl&q&ctype=99&nis=6,
,COLOCATIM,15 Rue de Verdun,03 67 97 33 80,https://colocatim.com/,
,CS Immobilier,36 Rue Boecklin,06 28 34 49 19,,
,Sarimo,35 Rue du Faubourg-de-Pierre,03 88 35 02 11,https://www.sarimo.fr/,
,Rodier Immobilier,68 Rue du Dr François,06 47 23 00 05,https://www.rodier-immobilier.com/a-louer/1,
,Strasbourg Immobilier | agence immobilière et estimation gratuite,9 Pl. Kléber,03 74 47 00 88,https://strasbourg-immobilier.fr/,
,EXCELIMO,35 Rue du Faubourg-de-Pierre,03 88 10 55 00,http://www.excelimo.fr/,
,Husser et Stocki,13 Rue Goethe,03 88 56 25 20,https://husser-stocki.fr/,
,Synchro-Immo Strasbourg,11 Rue du Marais-Vert,03 88 35 74 20,https://www.synchro-immo.fr/,
,Agence immobilière HEDONISTE IMMOBILIER - Agence à STRASBOURG et périphérie - Vente - Location - Gestion Strasbourg,57 Rte de Schirmeck,06 27 27 45 37,http://himmo.fr/,
,BA Immobilier - Agence immobilière à Strasbourg,66 Rue du Marché Gare,03 88 27 27 27,https://www.ba-immo.fr/,
,Alexandre Gartiser Immobilier,2 Rue des Mésanges,06 06 99 00 11,https://www.alexandre-gartiser.com/,
,Immobilière La Gloriette,63 Rte du Général de Gaulle,06 88 59 38 30,,
,EXPERT IMMO GRAND EST,4 Rue du 22 Novembre,07 68 55 58 29,http://www.expertimmograndest.fr/,
,Metzger Immobilier,35 Rue des Mimosas,06 26 82 87 78,http://www.metzgerimmobilier.fr/,
,L'Ill verte,34 Rue de Lattre de Tassigny,06 31 43 40 21,https://www.lillverte.com/contact.html,
,1789 Immobilier,29 Av. Jean Jaurès,06 84 40 57 24,http://www.1789-immo.com/,
,Orpi Immobiliere Bartholdi Reichstett,74 a Rue du Général de Gaulle,03 88 18 40 41,https://www.orpi.com/immobiliere.weiss/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_reichstett&utm_content=immobiliere.weiss,
,LERESEAU.IMMO,27 Rte de la Wantzenau,06 23 81 43 37,https://lereseau.immo/,
,A.t.i. Est,4 Rue Charles Appell,03 88 35 35 36,http://www.ati-est.fr/,
,AIK - Agence Immobilière du Kochersberg,16 Rue du Faubourg-de-Pierre,03 88 22 10 00,http://www.agence-kochersberg.com/,
